SourcePort,DestPort,FlowDuration,TotalFwdPackets,TotalBwdPackets,BwdInitWinBytes,FwdInitWinBytes,StartTime,Label,Label
52798,443,91.02322101593018,13.0,15.0,65535,65535,1701222207.749831,Tor,Browsing
52802,443,242.55797410011292,29.0,26.0,65535,65535,1701222235.406332,Tor,Browsing
52803,443,245.86270189285278,36.0,32.0,65535,65535,1701222259.393923,Tor,Browsing
60287,443,1.1973509788513184,66.0,43.0,62643,65535,1701222280.963883,Tor,Browsing
60288,443,0.6959061622619629,26.0,29.0,62643,65535,1701222280.970995,Tor,Browsing
60289,80,61.03838491439819,6.0,4.0,65535,65535,1701222281.105489,Tor,Browsing
60290,443,0.7831640243530273,36.0,33.0,62643,65535,1701222281.469011,Tor,Browsing
60291,80,31.041152954101562,6.0,4.0,65535,65535,1701222313.32702,Tor,Browsing
52813,443,180.6362178325653,16.0,11.0,65535,65535,1701222323.926983,Tor,Browsing
60292,443,31.728720903396606,36.0,44.0,65535,65535,1701222328.865896,Tor,Browsing
443,52848,15.358992099761963,2.0,3.0,2047,506,1701222970.943035,Tor,Browsing
52708,443,446.6381800174713,333.0,343.0,1994,21505,1701222973.123854,Tor,Browsing
443,52789,14.412569046020508,10.0,10.0,2048,70,1701222978.855669,Tor,Browsing
52852,443,1.2134451866149902,17.0,13.0,65535,65535,1701222992.286383,Tor,Browsing
52853,443,1.173309087753296,17.0,13.0,26847,65535,1701222992.334147,Tor,Browsing
52849,443,0.055635929107666016,2.0,1.0,134,2051,1701222993.433008,Tor,Browsing
52803,443,0.0740048885345459,2.0,1.0,323,2048,1701222993.433321,Tor,Browsing
52859,443,0.09756112098693848,3.0,2.0,65535,65535,1701223022.430028,Tor,Browsing
52860,443,90.61416602134705,17.0,17.0,65535,65535,1701223022.609638,Tor,Browsing
52868,443,231.52537417411804,46.0,34.0,65535,65535,1701223178.212823,Tor,Browsing
52869,443,90.58870506286621,11.0,11.0,65535,65535,1701223178.329134,Tor,Browsing
443,52708,571.95263504982,323.0,314.0,21497,1994,1701223548.141552,Tor,Browsing
52888,443,280.8901069164276,47.0,39.0,65535,65535,1701223595.056348,Tor,Browsing
52889,443,90.53989005088806,11.0,11.0,65535,65535,1701223595.166602,Tor,Browsing
52916,443,90.69929099082947,19.0,15.0,65535,65535,1701223920.811382,Tor,Browsing
52922,443,0.2864670753479004,16.0,18.0,65535,65535,1701223979.210784,Tor,Browsing
52923,443,0.6929531097412109,92.0,215.0,65535,65535,1701223979.501814,Tor,Browsing
52924,443,0.5982370376586914,28.0,21.0,65535,65535,1701223980.329787,Tor,Browsing
60293,443,0.6339480876922607,25.0,27.0,62643,65535,1701224087.020349,Tor,Browsing
60294,443,0.5963239669799805,21.0,17.0,62643,65535,1701224087.063328,Tor,Browsing
60295,443,0.5372350215911865,30.0,25.0,62643,65535,1701224087.506408,Tor,Browsing
60296,80,0.08054995536804199,4.0,3.0,65535,65535,1701224105.929223,Tor,Browsing
60297,443,0.6564948558807373,14.0,16.0,65535,65535,1701224109.731028,Tor,Browsing
443,52708,622.5934450626373,4514.0,2224.0,21497,1994,1701224819.310926,Tor,Browsing
53007,443,149.23466396331787,30.0,27.0,65535,65535,1701224836.874155,Tor,Browsing
53037,443,90.67954206466675,19.0,15.0,65535,65535,1701225131.65835,Tor,Browsing
60298,443,120.72821807861328,20.0,29.0,62643,65535,1701225198.396957,Tor,Browsing
60299,443,120.28730297088623,12.0,14.0,62643,65535,1701225198.853883,Tor,Browsing
53103,443,122.40775179862976,26.0,24.0,65535,65535,1701225273.94635,Tor,Browsing
60300,443,60.67898201942444,22.0,23.0,62643,65535,1701225277.954237,Tor,Browsing
443,52708,135.1606969833374,5912.0,2057.0,21497,1994,1701226221.425887,Non-Tor,Browsing
52708,443,334.44342494010925,3950.0,10211.0,1985,21505,1701226455.549226,Non-Tor,Browsing
53503,443,45.25017499923706,2.0,3.0,16383,2048,1701226471.81165,Non-Tor,Browsing
53505,443,45.21830916404724,2.0,3.0,16386,2048,1701226473.097848,Non-Tor,Browsing
53504,443,53.14990592002869,3.0,4.0,16385,2048,1701226473.439357,Non-Tor,Browsing
53541,443,90.73744702339172,16.0,16.0,65535,65535,1701226529.613403,Non-Tor,Browsing
53542,443,91.11305212974548,10.0,11.0,65535,65535,1701226529.738956,Non-Tor,Browsing
53543,443,92.2657060623169,305.0,131.0,65535,65535,1701226530.174252,Non-Tor,Browsing
53546,443,93.50463390350342,75.0,41.0,65535,65535,1701226532.75059,Non-Tor,Browsing
53551,443,210.53457403182983,54.0,38.0,65535,65535,1701226553.951986,Non-Tor,Browsing
53552,443,90.76068997383118,12.0,12.0,65535,65535,1701226554.071186,Non-Tor,Browsing
443,52708,135.1606969833374,5912.0,2057.0,21497,1994,1701226221.425887,Non-Tor,Browsing
52708,443,334.44342494010925,3950.0,10211.0,1985,21505,1701226455.549226,Non-Tor,Browsing
53503,443,45.25017499923706,2.0,3.0,16383,2048,1701226471.81165,Non-Tor,Browsing
53505,443,45.21830916404724,2.0,3.0,16386,2048,1701226473.097848,Non-Tor,Browsing
53504,443,53.14990592002869,3.0,4.0,16385,2048,1701226473.439357,Non-Tor,Browsing
53541,443,90.73744702339172,16.0,16.0,65535,65535,1701226529.613403,Non-Tor,Browsing
53542,443,91.11305212974548,10.0,11.0,65535,65535,1701226529.738956,Non-Tor,Browsing
53543,443,92.2657060623169,305.0,131.0,65535,65535,1701226530.174252,Non-Tor,Browsing
53546,443,93.50463390350342,75.0,41.0,65535,65535,1701226532.75059,Non-Tor,Browsing
53551,443,210.53457403182983,54.0,38.0,65535,65535,1701226553.951986,Non-Tor,Browsing
53552,443,90.76068997383118,12.0,12.0,65535,65535,1701226554.071186,Non-Tor,Browsing
443,52708,205.04276704788208,7394.0,2953.0,21497,1994,1701226896.28945,Non-Tor,Browsing
60303,443,180.4939751625061,17.0,19.0,62643,65535,1701226907.859469,Non-Tor,Browsing
443,52708,167.52055978775024,6727.0,2998.0,21497,1985,1701227459.355657,Non-Tor,Browsing
54146,443,90.88978099822998,11.0,10.0,65535,65535,1701227509.579794,Non-Tor,Browsing
54147,443,114.78200888633728,33.0,26.0,65535,65535,1701227509.647447,Non-Tor,Browsing
443,52708,184.20925402641296,6483.0,2698.0,21505,2541,1701227704.215762,Non-Tor,Browsing
60304,443,0.8888161182403564,12.0,13.0,62643,65535,1701227706.129835,Non-Tor,Browsing
60305,443,0.6869621276855469,30.0,29.0,62643,65535,1701227706.131219,Non-Tor,Browsing
60306,443,0.6314201354980469,32.0,27.0,62643,65535,1701227706.615866,Non-Tor,Browsing
54147,443,35.831032037734985,6.0,2.0,16385,2048,1701227715.120422,Non-Tor,Browsing
